Start_station_id,start_station_name,Male_Start_Trip,Female_Start_Trip,Male_End_Trip,Female_End_Trip
2,San Jose Diridon Caltrain Station,0,0,0,0
3,Powell St BART Station (Market St at 4th St),11024,3412,11024,3412
3,San Jose Civic Center,0,0,0,0
4,Cyril Magnin St at Ellis St,2426,537,2426,537
4,Santa Clara at Almaden,0,0,0,0
5,Adobe on Almaden,0,0,0,0
5,Powell St BART Station (Market St at 5th St),9200,2736,9200,2736
6,San Pedro Square,0,0,0,0
6,The Embarcadero at Sansome St,12407,3603,12407,3603
7,Frank H Ogawa Plaza,3212,1347,3212,1347
7,Paseo de San Antonio,0,0,0,0
8,San Salvador at 1st,0,0,0,0
8,The Embarcadero at Vallejo St,2865,1791,2865,1791
9,Broadway at Battery St,5040,939,5040,939
9,Japantown,0,0,0,0
10,San Jose City Hall,0,0,0,0
10,Washington St at Kearny St,1885,687,1885,687
11,Davis St at Jackson St,3808,1029,3808,1029
11,MLK Library,0,0,0,0
12,SJSU 4th at San Carlos,0,0,0,0
13,Commercial St at Montgomery St,4035,1041,4035,1041
13,St James Park,0,0,0,0
14,Arena Green / SAP Center,0,0,0,0
14,Clay St at Battery St,4800,1199,4800,1199
15,San Francisco Ferry Building (Harry Bridges Plaza),14527,5029,14527,5029
16,SJSU - San Salvador at 9th,0,0,0,0
16,Steuart St at Market St,11587,3143,11587,3143
17,Embarcadero BART Station (Beale St at Market St),9611,2398,9611,2398
18,Telegraph Ave at Alcatraz Ave,725,300,725,300
19,Post St at Kearny St,5674,1687,5674,1687
20,Mechanics Monument Plaza (Market St at Bush St),5695,1409,5695,1409
21,Franklin at Maple,0,0,0,0
21,Montgomery St BART Station (Market St at 2nd St),14014,3001,14014,3001
21,Sequoia Hospital,0,0,0,0
22,Howard St at Beale St,12696,3446,12696,3446
22,Redwood City Caltrain Station,0,0,0,0
23,San Mateo County Center,0,0,0,0
23,The Embarcadero at Steuart St,7471,1584,7471,1584
24,Redwood City Public Library,0,0,0,0
24,Spear St at Folsom St,6176,1278,6176,1278
25,Broadway at Main,0,0,0,0
25,Howard St at 2nd St,6937,1226,6937,1226
25,Stanford in Redwood City,0,0,0,0
26,1st St at Folsom St,2391,611,2391,611
26,Kaiser Hospital,0,0,0,0
26,Redwood City Medical Center,0,0,0,0
27,Beale St at Harrison St,6056,2009,6056,2009
27,Mountain View City Hall,0,0,0,0
28,Mountain View Caltrain Station,0,0,0,0
28,The Embarcadero at Bryant St,5349,1294,5349,1294
29,O'Farrell St at Divisadero St,1245,597,1245,597
29,San Antonio Caltrain Station,0,0,0,0
30,Evelyn Park and Ride,0,0,0,0
30,Middlefield Light Rail Station,0,0,0,0
30,San Francisco Caltrain (Townsend St at 4th St),17144,3943,17144,3943
31,Raymond Kimbell Playground,1640,739,1640,739
31,San Antonio Shopping Center,0,0,0,0
32,Castro Street and El Camino Real,0,0,0,0
33,Charleston Park/ North Bayshore Area,0,0,0,0
33,Golden Gate Ave at Hyde St,1919,361,1919,361
33,Rengstorff Avenue / California Street,0,0,0,0
34,Father Alfred E Boeddeker Park,1730,345,1730,345
34,Palo Alto Caltrain Station,0,0,0,0
35,Cahill Park,882,99,882,99
35,University and Emerson,0,0,0,0
36,California Ave Caltrain Station,0,0,0,0
36,Folsom St at 3rd St,3630,986,3630,986
37,2nd St at Folsom St,6799,1390,6799,1390
37,Cowper at University,0,0,0,0
38,Park at Olive,0,0,0,0
39,Powell Street BART,0,0,0,0
39,Scott St at Golden Gate Ave,1281,339,1281,339
40,Laguna St at McAllister St,547,210,547,210
41,Clay at Battery,0,0,0,0
41,Golden Gate Ave at Polk St,4799,1492,4799,1492
42,Davis at Jackson,0,0,0,0
42,San Francisco City Hall (Polk St at Grove St),2733,1017,2733,1017
43,San Francisco Public Library (Grove St at Hyde St),4502,1154,4502,1154
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),6242,1559,6242,1559
45,5th St at Howard St,6153,1373,6153,1373
45,Commercial at Montgomery,0,0,0,0
46,San Antonio Park,308,144,308,144
46,Washington at Kearney,0,0,0,0
46,Washington at Kearny,0,0,0,0
47,4th St at Harrison St,3663,1221,3663,1221
47,Post at Kearney,0,0,0,0
47,Post at Kearny,0,0,0,0
48,2nd St at S Park St,4384,1026,4384,1026
48,Embarcadero at Vallejo,0,0,0,0
49,S Park St at 3rd St,4571,1315,4571,1315
49,Spear at Folsom,0,0,0,0
50,2nd St at Townsend St,643,183,643,183
50,2nd St at Townsend St - Coming Soon,4953,1007,4953,1007
50,Harry Bridges Plaza (Ferry Building),0,0,0,0
51,Embarcadero at Folsom,0,0,0,0
52,McAllister St at Baker St,1626,1073,1626,1073
53,Grove St at Divisadero,2463,782,2463,782
54,Embarcadero at Bryant,0,0,0,0
55,Temporary Transbay Terminal (Howard at Beale),0,0,0,0
55,Webster St at Grove St,1301,679,1301,679
56,Beale at Market,0,0,0,0
56,Koshland Park,2399,548,2399,548
57,5th at Howard,0,0,0,0
58,Market St at 10th St,15836,3440,15836,3440
58,San Francisco City Hall,0,0,0,0
59,Golden Gate at Polk,0,0,0,0
59,S Van Ness Ave at Market St,6056,1208,6056,1208
60,8th St at Ringold St,3735,940,3735,940
60,Embarcadero at Sansome,0,0,0,0
61,2nd at Townsend,0,0,0,0
61,Howard St at 8th St,3794,891,3794,891
62,2nd at Folsom,0,0,0,0
62,Victoria Manalo Draves Park,2848,860,2848,860
