start_station_id,start_station_name,Trips_Started
70,San Francisco Caltrain (Townsend at 4th),72683
69,San Francisco Caltrain 2 (330 Townsend),56100
50,Harry Bridges Plaza (Ferry Building),49062
60,Embarcadero at Sansome,41137
61,2nd at Townsend,39936
55,Temporary Transbay Terminal (Howard at Beale),39199
74,Steuart at Market,38531
77,Market at Sansome,35142
65,Townsend at 7th,34894
67,Market at 10th,30209
76,Market at 4th,27502
64,2nd at South Park,26218
39,Powell Street BART,25204
15,San Francisco Ferry Building (Harry Bridges Plaza),25096
62,2nd at Folsom,23403
56,Beale at Market,23082
73,Grant Avenue at Columbus Avenue,23041
54,Embarcadero at Bryant,22525
30,San Francisco Caltrain (Townsend St at 4th St),22275
6,The Embarcadero at Sansome St,21978
51,Embarcadero at Folsom,21874
58,Market St at 10th St,20869
63,Howard at 2nd,20746
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),20074
81,Berry St at 4th St,19975
72,Civic Center BART (7th at Market),19145
57,5th at Howard,18962
21,Montgomery St BART Station (Market St at 2nd St),18951
66,South Van Ness at Market,18278
75,Mechanics Plaza (Market at Battery),17837
3,Powell St BART Station (Market St at 4th St),17636
49,Spear at Folsom,17062
71,Powell at Post (Union Square),16984
45,Commercial at Montgomery,16857
22,Howard St at Beale St,16817
16,Steuart St at Market St,16241
82,Broadway St at Battery St,16005
48,Embarcadero at Vallejo,15302
42,Davis at Jackson,15197
68,Yerba Buena Center of the Arts (3rd @ Howard),14711
41,Clay at Battery,14351
5,Powell St BART Station (Market St at 5th St),14065
2,San Jose Diridon Caltrain Station,13593
17,Embarcadero BART Station (Beale St at Market St),13051
66,3rd St at Townsend St,11728
47,Post at Kearny,11308
90,Townsend St at 7th St,11163
59,Golden Gate at Polk,10651
182,19th Street BART Station,10208
23,The Embarcadero at Steuart St,10042
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),9570
324,Union Square (Powell St at Post St),9134
28,Mountain View Caltrain Station,9059
25,Howard St at 2nd St,8803
37,2nd St at Folsom St,8704
27,Beale St at Harrison St,8541
45,5th St at Howard St,8465
19,Post St at Kearny St,8414
176,MacArthur BART Station,8166
28,The Embarcadero at Bryant St,7985
24,Spear St at Folsom St,7981
93,4th St at Mission Bay Blvd S,7866
20,Mechanics Monument Plaza (Market St at Bush St),7769
59,S Van Ness Ave at Market St,7752
70,Central Ave at Fell St,7687
134,Valencia St at 24th St,7391
46,Washington at Kearny,7136
323,Broadway at Kearny,7075
8,The Embarcadero at Vallejo St,7020
41,Golden Gate Ave at Polk St,6999
9,Broadway at Battery St,6833
14,Clay St at Battery St,6820
98,Valencia St at 16th St,6819
243,Bancroft Way at College Ave,6765
58,San Francisco City Hall,6730
50,2nd St at Townsend St - Coming Soon,6605
49,S Park St at 3rd St,6272
43,San Francisco Public Library (Grove St at Hyde St),6264
197,El Embarcadero at Grand Ave,6038
48,2nd St at S Park St,5796
163,Lake Merritt BART Station,5695
86,Market St at Dolores St,5688
